qid,question,answer_with_context,model
q_942,What was the name of the video game?,Starpower: Beyoncé,meta-llama/llama-4-maverick-17b-128e-instruct
q_943,What video game did Beyoncé back out of?,Starpower: Beyoncé,meta-llama/llama-4-maverick-17b-128e-instruct
q_944,What company was producing the video game?,GateFive,meta-llama/llama-4-maverick-17b-128e-instruct
q_945,How many people lost their jobs over Beyoncé backing out of the deal?,70 staff,meta-llama/llama-4-maverick-17b-128e-instruct
q_946,When was the disagreement settled out of court?,June 2013,meta-llama/llama-4-maverick-17b-128e-instruct
q_947,Who did Bayonce's management go into business with in 2014?,Topshop,meta-llama/llama-4-maverick-17b-128e-instruct
q_948,"After their agreement together, Beyonce's and Topshop"" new business was called what?",Parkwood Topshop Athletic Ltd,meta-llama/llama-4-maverick-17b-128e-instruct
q_949,What type of clothing does Parkwood Topshop Athletic Ltd produce?,"athletic, street wear brand",meta-llama/llama-4-maverick-17b-128e-instruct
q_95,"In 1919 a new president of Notre Dame was named, who was it?",Father James Burns,meta-llama/llama-4-maverick-17b-128e-instruct
q_950,The company and products were set to be in stores when?,fall of 2015,meta-llama/llama-4-maverick-17b-128e-instruct
q_951,Who did Beyonce partner with in London?,Topshop,meta-llama/llama-4-maverick-17b-128e-instruct
q_952,When will the new line launch?,April 2016,meta-llama/llama-4-maverick-17b-128e-instruct
q_953,What is the name of Beyoncé's management company?,Parkwood Entertainment,meta-llama/llama-4-maverick-17b-128e-instruct
q_954,Who did Beyoncé and Parkwood Entertainment partner with in October 2014?,Topshop,meta-llama/llama-4-maverick-17b-128e-instruct
q_955,Where is Topshop located?,London,meta-llama/llama-4-maverick-17b-128e-instruct
q_956,What was the new division of Topshop because of the partnership?,"an athletic, street wear brand",meta-llama/llama-4-maverick-17b-128e-instruct
q_957,"When was it discovered Beyonce was a co-owner of the music service, Tidal?",UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_958,The parent company of Tidal became under the ownership of whom in 2015?,Jay Z,meta-llama/llama-4-maverick-17b-128e-instruct
q_959,When was it announced that Beyonce was a co-owner in Tidal?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_96,Over how many years did the change to national standards undertaken at Notre Dame in the early 20th century take place?,3 years,meta-llama/llama-4-maverick-17b-128e-instruct
q_960,What kind of service is Tidal?,music streaming service,meta-llama/llama-4-maverick-17b-128e-instruct
q_961,What is a criticism of other streaming services?,low payout of royalties,meta-llama/llama-4-maverick-17b-128e-instruct
q_962,What music streaming system is Beyoncé part owner of?,Tidal,meta-llama/llama-4-maverick-17b-128e-instruct
q_963,What is the parent company of the music service Beyoncé owns part of?,Aspiro,meta-llama/llama-4-maverick-17b-128e-instruct
q_964,Who acquired the parent company of the music service Beyoncé owns part of?,Jay Z,meta-llama/llama-4-maverick-17b-128e-instruct
q_965,What music service is accused of providing low royalty amounts?,Spotify,meta-llama/llama-4-maverick-17b-128e-instruct
q_966,House of Dereon became known through Beyonce and which of Beyonce's relatives?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_967,Beyonce's grandma's name was?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_968,Beyonce's family's company name is what?,Beyond Productions,meta-llama/llama-4-maverick-17b-128e-instruct
q_969,What types of garments are sold by Beyonce's clothing line?,"dance, fitness and sports ranges",meta-llama/llama-4-maverick-17b-128e-instruct
q_97,Those who attended a Jesuit college may have been forbidden from joining which Law School due to the curricula at the Jesuit institution?,Harvard Law School,meta-llama/llama-4-maverick-17b-128e-instruct
q_970,Which two countries can you purchase Beyonce's clothing line?,"UK and USA (implied, as Topshop is a British retailer, but not directly stated; however, the answer can be derived from the fact that Topshop is British)",meta-llama/llama-4-maverick-17b-128e-instruct
q_971,"Who partnered with Beyonce to start the clothing line, Dereon?",UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_972,When did Beyonce and her mother start Dereon?,2005,meta-llama/llama-4-maverick-17b-128e-instruct
q_973,Who was the business named for in Beyonce's family?,Agnèz Deréon,meta-llama/llama-4-maverick-17b-128e-instruct
q_974,Where were items from the clothing line displayed?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_975,Who shares in the House of Deréon fashion line introduction with Beyoncé?,Beyoncé's mother,meta-llama/llama-4-maverick-17b-128e-instruct
q_976,What is the name of the House of Deréon junior collection?,Deréon,meta-llama/llama-4-maverick-17b-128e-instruct
q_977,What type of accessory company did Beyonce partner with in 2005?,"House of Brands, a shoe company",meta-llama/llama-4-maverick-17b-128e-instruct
q_978,"In 2010, Beyonce released Dereon to what country?",UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_979,Back-to-school shopping was introduced in what year of Beyonce's clothing line?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_98,"The Notre Dame football team got a new head coach in 1918, who was it?",Knute Rockne,meta-llama/llama-4-maverick-17b-128e-instruct
q_980,What did Beyonce's Fashion Diva feature?,the House of Deréon collection,meta-llama/llama-4-maverick-17b-128e-instruct
q_981,What new idea did Beyonce and her mother launch in 2009?,"Sasha Fierce for Deréon, a junior apparel label",meta-llama/llama-4-maverick-17b-128e-instruct
q_982,When did Beyonce partner with C&A to sell fashion in Brazil?,"May 27, 2010",meta-llama/llama-4-maverick-17b-128e-instruct
q_983,What company did Beyoncé get together with in 2005 to add shoes to her fashions?,House of Brands,meta-llama/llama-4-maverick-17b-128e-instruct
q_984,What was the name of the game put out by Starwave Mobile in 2008 that featured Beyoncé fashions?,Beyoncé Fashion Diva,meta-llama/llama-4-maverick-17b-128e-instruct
q_985,What was the name of the junior fashions launched in 2009 by Beyoncé and her mother?,Sasha Fierce for Deréon,meta-llama/llama-4-maverick-17b-128e-instruct
q_986,Who did Beyoncé team up with in 2010 to get her fashions into Brazil?,C&A,meta-llama/llama-4-maverick-17b-128e-instruct
q_987,Sasha Fierce for Deréon fashions were sold at stores that included Macy's and what other store?,Dillard's,meta-llama/llama-4-maverick-17b-128e-instruct
q_988,"Beyonce, during October 2014, partnered with whom to produce an outdoor line of clothing?",Topshop,meta-llama/llama-4-maverick-17b-128e-instruct
q_989,Beyonce and Topshops first products were to be sold in stores when?,April 2016,meta-llama/llama-4-maverick-17b-128e-instruct
q_99,What was the amount of wins Knute Rockne attained at Notre Dame while head coach?,105 wins,meta-llama/llama-4-maverick-17b-128e-instruct
q_990,What is the new business called?,Parkwood Topshop Athletic Ltd,meta-llama/llama-4-maverick-17b-128e-instruct
q_991,What is Beyonce's percentage of ownership in the new venture?,50%,meta-llama/llama-4-maverick-17b-128e-instruct
q_992,When will the full line appear?,April 2016,meta-llama/llama-4-maverick-17b-128e-instruct
q_993,What company did Beyoncé contract with to sell clothing in England?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_994,What is the name of the equal partnership's fashion line between Beyoncé and the British company to come out in 2016?,Parkwood Topshop Athletic Ltd,meta-llama/llama-4-maverick-17b-128e-instruct
q_995,What type of clothing does the British partnership with Beyoncé sell?,activewear,meta-llama/llama-4-maverick-17b-128e-instruct
q_996,What national disaster caused Beyonce to create the Survivor Foundation?,Hurricane Katrina,meta-llama/llama-4-maverick-17b-128e-instruct
q_997,"How much cash did Beyonce put into the venture, the Survivor Foundation at startup?","$250,000",meta-llama/llama-4-maverick-17b-128e-instruct
q_998,What hurricane years later after Katrina did the organization provide support for?,Hurricane Ike three years later,meta-llama/llama-4-maverick-17b-128e-instruct
q_999,What did Beyonce and Rowland found in 2005?,Survivor Foundation,meta-llama/llama-4-maverick-17b-128e-instruct
