qid,question,answer_no_context,model
q_956,What was the new division of Topshop because of the partnership?,"Topshop's new division was called ""Topshop Unique",meta-llama/llama-4-maverick-17b-128e-instruct
q_957,"When was it discovered Beyonce was a co-owner of the music service, Tidal?",2015,meta-llama/llama-4-maverick-17b-128e-instruct
q_958,The parent company of Tidal became under the ownership of whom in 2015?,Jay-Z,meta-llama/llama-4-maverick-17b-128e-instruct
q_959,When was it announced that Beyonce was a co-owner in Tidal?,March 2015,meta-llama/llama-4-maverick-17b-128e-instruct
q_96,Over how many years did the change to national standards undertaken at Notre Dame in the early 20th century take place?,20 years,meta-llama/llama-4-maverick-17b-128e-instruct
q_960,What kind of service is Tidal?,Music streaming service,meta-llama/llama-4-maverick-17b-128e-instruct
q_961,What is a criticism of other streaming services?,They are too expensive,meta-llama/llama-4-maverick-17b-128e-instruct
q_962,What music streaming system is Beyoncé part owner of?,Tidal,meta-llama/llama-4-maverick-17b-128e-instruct
q_963,What is the parent company of the music service Beyoncé owns part of?,Tidal,meta-llama/llama-4-maverick-17b-128e-instruct
q_964,Who acquired the parent company of the music service Beyoncé owns part of?,Blackstone Group,meta-llama/llama-4-maverick-17b-128e-instruct
q_965,What music service is accused of providing low royalty amounts?,Spotify,meta-llama/llama-4-maverick-17b-128e-instruct
q_966,House of Dereon became known through Beyonce and which of Beyonce's relatives?,Solange Knowles,meta-llama/llama-4-maverick-17b-128e-instruct
q_967,Beyonce's grandma's name was?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_968,Beyonce's family's company name is what?,Parkwood Entertainment,meta-llama/llama-4-maverick-17b-128e-instruct
q_969,What types of garments are sold by Beyonce's clothing line?,Activewear and casual wear,meta-llama/llama-4-maverick-17b-128e-instruct
q_97,Those who attended a Jesuit college may have been forbidden from joining which Law School due to the curricula at the Jesuit institution?,Harvard Law School,meta-llama/llama-4-maverick-17b-128e-instruct
q_970,Which two countries can you purchase Beyonce's clothing line?,H&M stores in the US and UK,meta-llama/llama-4-maverick-17b-128e-instruct
q_971,"Who partnered with Beyonce to start the clothing line, Dereon?",Tirionne Knowles (Beyonce's mother),meta-llama/llama-4-maverick-17b-128e-instruct
q_972,When did Beyonce and her mother start Dereon?,2004,meta-llama/llama-4-maverick-17b-128e-instruct
q_973,Who was the business named for in Beyonce's family?,Mathew Beyonce,meta-llama/llama-4-maverick-17b-128e-instruct
q_974,Where were items from the clothing line displayed?,On a mannequin,meta-llama/llama-4-maverick-17b-128e-instruct
q_975,Who shares in the House of Deréon fashion line introduction with Beyoncé?,Solange Knowles,meta-llama/llama-4-maverick-17b-128e-instruct
q_976,What is the name of the House of Deréon junior collection?,Dèzirae,meta-llama/llama-4-maverick-17b-128e-instruct
q_977,What type of accessory company did Beyonce partner with in 2005?,Vera Wang Veritas jewelry,meta-llama/llama-4-maverick-17b-128e-instruct
q_978,"In 2010, Beyonce released Dereon to what country?",France,meta-llama/llama-4-maverick-17b-128e-instruct
q_979,Back-to-school shopping was introduced in what year of Beyonce's clothing line?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_98,"The Notre Dame football team got a new head coach in 1918, who was it?",Knute Rockne,meta-llama/llama-4-maverick-17b-128e-instruct
q_980,What did Beyonce's Fashion Diva feature?,Beyoncé was featured on the cover,meta-llama/llama-4-maverick-17b-128e-instruct
q_981,What new idea did Beyonce and her mother launch in 2009?,Beyonce's House of Deréon,meta-llama/llama-4-maverick-17b-128e-instruct
q_982,When did Beyonce partner with C&A to sell fashion in Brazil?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_983,What company did Beyoncé get together with in 2005 to add shoes to her fashions?,House of Deréon,meta-llama/llama-4-maverick-17b-128e-instruct
q_984,What was the name of the game put out by Starwave Mobile in 2008 that featured Beyoncé fashions?,Beyoncé Fashion Diva,meta-llama/llama-4-maverick-17b-128e-instruct
q_985,What was the name of the junior fashions launched in 2009 by Beyoncé and her mother?,Dressy Bee's,meta-llama/llama-4-maverick-17b-128e-instruct
q_986,Who did Beyoncé team up with in 2010 to get her fashions into Brazil?,Beyoncé teamed up with Vogue Brasil,meta-llama/llama-4-maverick-17b-128e-instruct
q_987,Sasha Fierce for Deréon fashions were sold at stores that included Macy's and what other store?,Foley's,meta-llama/llama-4-maverick-17b-128e-instruct
q_988,"Beyonce, during October 2014, partnered with whom to produce an outdoor line of clothing?",Topshop,meta-llama/llama-4-maverick-17b-128e-instruct
q_989,Beyonce and Topshops first products were to be sold in stores when?,2013,meta-llama/llama-4-maverick-17b-128e-instruct
q_99,What was the amount of wins Knute Rockne attained at Notre Dame while head coach?,105-12-5,meta-llama/llama-4-maverick-17b-128e-instruct
q_990,What is the new business called?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_991,What is Beyonce's percentage of ownership in the new venture?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_992,When will the full line appear?,When all segments are connected,meta-llama/llama-4-maverick-17b-128e-instruct
q_993,What company did Beyoncé contract with to sell clothing in England?,Topshop,meta-llama/llama-4-maverick-17b-128e-instruct
q_994,What is the name of the equal partnership's fashion line between Beyoncé and the British company to come out in 2016?,Ivy Park x Adidas,meta-llama/llama-4-maverick-17b-128e-instruct
q_995,What type of clothing does the British partnership with Beyoncé sell?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_996,What national disaster caused Beyonce to create the Survivor Foundation?,Hurricane Katrina,meta-llama/llama-4-maverick-17b-128e-instruct
q_997,"How much cash did Beyonce put into the venture, the Survivor Foundation at startup?","$50,000",meta-llama/llama-4-maverick-17b-128e-instruct
q_998,What hurricane years later after Katrina did the organization provide support for?,Harvey,meta-llama/llama-4-maverick-17b-128e-instruct
q_999,What did Beyonce and Rowland found in 2005?,House of Deréon,meta-llama/llama-4-maverick-17b-128e-instruct
